ball,score,commentary
13.5,1lb,"Hardik to Perera, 1 leg byeyorker on the pads, KJP swings for the hills and doesn't lay bat on ball but sneaks in a leg bye"
13.4,1,"Hardik to Nissanka,  1 runmiddle-stump yorker, dug back to Hardik for a quick single"
13.3,â€¢,"Hardik to Nissanka, no runNissanka shows his ace early and steps away outside leg. Hardik spots it and bangs a short ball well wide of off. Swing and a miss from Nissanka"
13.2,â€¢,"Hardik to Nissanka, no runback of a length and skidding into the pads, but this is surely heading down the leg side"
13.1,6,"Hardik to Nissanka,  SIX runsswatted away in the air to the right of Bishnoi at deep midwicket. Shortish and on the thigh, Nissanka pulls it flat and hard, the ball strikes the ad skirting on the full. Six for Nissanka"
12.6,1,"Axar Patel to Nissanka,  1 runshort and into the pitch, chipped into the vacant midwicket region"
12.5,1,"Axar Patel to Perera,  1 runshort and into the hips, short-armed away to deep square leg by KJP"
12.4,â€¢,"Axar Patel to Perera, no runflat and quick, sliding across off, miscued in front of short third by KJP"
12.3,1,"Axar Patel to Nissanka,  1 runarm ball from Axar, veers in at middle, hastily chopped out to point as they cross over for a single"
12.2,4,"Axar Patel to Nissanka, FOUR runsdragged down on middle, too short from Axar, Nissanka picks up the length so very quickly. Rocks back and pummels a pull between deep midwicket and wide long-on for four more"
12.1,4,"Axar Patel to Nissanka, FOUR runsfiercely reverse-swept over point. Axar darts it full on the stumps, Nissanka gets into position and lifts it over point"
11.6,1,"Hardik to Nissanka,  1 runrides the bounce of this short ball outside off and guides it to Axar, who makes a half-save at point"
11.5,4,"Hardik to Nissanka, FOUR runspicked up over square leg. Nicely done by Nissanka. A bit too full and angling into the pads, great wristwork from Nissanka"
11.4,â€¢,"Hardik to Nissanka, no runHardik takes this away from the swinging arc. Pathum, having stepped away outside leg, can just chop it behind to the keeper"
11.3,2,"Hardik to Nissanka,  2 runsslower cutter from Hardik, smeared away but bounces in front of SKY at mid-off"
11.2,1,"Hardik to Perera,  1 runhip-high short ball outside off, Kusal swivels on the back foot and pulls it over midwicket"
11.2,1w,"Hardik to Perera, 1 wideslides a yorker down the leg side, wide called"
11.1,5,"Hardik to Nissanka,  5 runswide of the crease, back of a length and angling into the hips, whipped away through square leg. Nissanka scampers back for the second. Make that six for SL and Nissanka. A direct hit from India but the ball keeps rolling away to the boundary. Indeed, it's six runs for Nissanka and SL. What a way to bring up a half-century. Played, Pathum. He gets a hug from Kusal. Okay, it's just five runs for SL and Nissanka. The umpires have deemed that the batters did not cross when Rinku released the throw"
10.6,4,"Ravi Bishnoi to Perera, FOUR runsbelted over extra-cover! Flat and quick, this googly leaves Kusal outside off. He still latches onto it and muscles it over the off side"
10.5,1,"Ravi Bishnoi to Nissanka,  1 runtossed up and turns away outside off, forced down to long-off"
10.4,â€¢,"Ravi Bishnoi to Nissanka, no runlegbreak, flat and quick outside off, cut to point on the back foot"
10.3,1,"Ravi Bishnoi to Perera,  1 runwrong'un, short, wide, turning away even further, slapped down the ground"
10.2,1,"Ravi Bishnoi to Nissanka,  1 runshortish and breaking into the top of off, this wrong'un is chopped to point, SL hare across for a single"
10.1,â€¢,"Ravi Bishnoi to Nissanka, no runchopped on the back foot to point"
9.6,1lb,"Hardik to Nissanka, 1 leg byethe off-cutter veers in to hit the thigh pad, they get a leg bye off a deflection"
9.5,1,"Hardik to Perera,  1 runflat-bats it down to long-on"
9.4,2,"Hardik to Perera,  2 runspulled to wide long-on, excellent running to complete the second. They literally stole the second"
9.3,1,"Hardik to Nissanka,  1 runpats it to point as they scamper a single"
9.2,2,"Hardik to Nissanka,  2 runscrashed to deep point where Jaiswal puts in an incredible dive after getting to the ball, saved a certain boundary"
9.1,1,"Hardik to Perera,  1 runtoe-ends a slog back to Hardik who misfields to concede the single"
8.6,6,"Arshdeep Singh to Nissanka,  SIX runsmy word, what a shot! Disdainful. That just sat up for Nissanka to clobber over deep midwicket. Slower length ball, but he held his shape incredibly well before walloping it."
8.5,1,"Arshdeep Singh to Perera,  1 runturns this full toss on middle to deep square leg"
8.4,W,"Arshdeep Singh to Kusal Mendis, OUTthe move to bring Arshdeep has paid dividends. Kusal has to force the pace on this pull because Arshdeep takes pace off with a knuckleball into the wicket, he ended up dragging it to Jaiswal at the deep midwicket fence. What a turbocharge for Sri Lanka nonetheless.Kusal Mendis c Jaiswal b Arshdeep Singh 45 (27b 7x4 1x6 39m) SR: 166.66"
8.3,6,"Arshdeep Singh to Kusal Mendis,  SIX runshelped over deep square! Way over the ropes and into the stand. Swivelled back early as he got inside the line, watched it onto the pad and whipped it into the grass banks."
8.2,1,"Arshdeep Singh to Nissanka,  1 runslower and fuller, drilled to long-off"
8.1,â€¢,"Arshdeep Singh to Nissanka, no runwalks across to help it over square leg, but is struck on the pad outside the line of the stumps"
7.6,4,"Hardik to Kusal Mendis, FOUR runssuperb execution! Hardik drops short, this has been helped up and over short third. Deliberately done"
7.5,â€¢,"Hardik to Kusal Mendis, no runinto the blockhole, squeezed to short third"
7.4,1,"Hardik to Nissanka,  1 runhustled by the skid off a length as he hops back to defend, they'll pinch a single"
7.3,1,"Hardik to Kusal Mendis,  1 runslower length ball outside off, punched to sweeper cover"
7.2,2,"Hardik to Kusal Mendis,  2 runsslower and fuller on middle and leg as he follows Kusal, he ends up bunting this down the ground and pinch two as deep midwicket had a long way to run around"
7.1,4,"Hardik to Kusal Mendis, FOUR runscuts him up and over backward point. Hardik welcomed with a disdainful stroke. Too much width and it deserved to be put away"
6.6,â€¢,"Ravi Bishnoi to Nissanka, no runslaps this straight to cover"
6.5,1,"Ravi Bishnoi to Kusal Mendis,  1 runpulled to deep midwicket"
6.4,â€¢,"Ravi Bishnoi to Kusal Mendis, no runthe fizz off the pitch has landed India a breakthrough. Or has it? Given out on field, Kusal asks for a review. The ball drifts in, hits length and skids through to hit the pad as Kusal plays around this. Replays confirm he has been saved by an inside edge.  The onfield decision has been overturned."
6.3,4,"Ravi Bishnoi to Kusal Mendis, FOUR runshelped along to beat short fine! Too short, too much pace on the ball and these are easy pickings."
6.2,1,"Ravi Bishnoi to Nissanka,  1 runrolls his wrists nicely to pull this all along the ground to deep backward square leg"
6.1,4,"Ravi Bishnoi to Nissanka, FOUR runstoo full and he's blasted that over the bowler's head to bisect long-off and long-on."
5.6,4,"Axar Patel to Kusal Mendis, FOUR runsclears square leg! Gets inside the line to pull but ends up sweeping him up and over at the very last moment"
5.5,â€¢,"Axar Patel to Kusal Mendis, no runpunches to point. Looked to open up the off side to go over cover but changed his shot as Axar shortened his length"
5.4,1,"Axar Patel to Nissanka,  1 runrocks back and pulls this to Rinku at deep square"
5.3,â€¢,"Axar Patel to Nissanka, no runslaps this straight to cover point"
5.2,â€¢,"Axar Patel to Nissanka, no runbeaten on the cut as this skids through"
5.1,1,"Axar Patel to Kusal Mendis,  1 runpulled to square leg, Sri Lanka raise their 50 in good time. This one just landed short of the fielder"
4.6,1,"Ravi Bishnoi to Kusal Mendis,  1 runmiscues a pull, down to deep midwicket"
4.5,â€¢,"Ravi Bishnoi to Kusal Mendis, no runbeaten as he attempts a slog sweep over deep midwicket"
4.4,4,"Ravi Bishnoi to Kusal Mendis, FOUR runsgets across a long way to pull but Bishnoi drops short and drifts down, batter misses, keeper misses and they'll get four. Signalled four runs by the umpire, replays show it was nowhere near it."
4.3,2,"Ravi Bishnoi to Kusal Mendis,  2 runsslaps this wide of Gill at long-off, two more"
4.2,4,"Ravi Bishnoi to Kusal Mendis, FOUR runsshort, wide and crashed behind point. Kusal rocked back, made room and put that away. Key to that was playing late to pick the gap behind point"
4.1,â€¢,"Ravi Bishnoi to Kusal Mendis, no runskids one off a length to rush the batter, chopped to short third"
3.6,6,"Siraj to Nissanka,  SIX runsclubbed over deep midwicket! Siraj, who had words to say to Nissanka after the previous ball, quickly turns around and looks away. Groan! Too short, Nissanka was up for it as he transferred weight back and muscled it away."
3.5,â€¢,"Siraj to Nissanka, no runbacks away to scythe this over point but Siraj bowls full and outside his swinging arc"
3.4,6,"Siraj to Nissanka,  SIX runsimprovisation pro max! Steps out, gets leg side of the ball and carves up room to upper cut this short ball over third man. Lovely hit"
3.3,1,"Siraj to Kusal Mendis,  1 rundeflected to short third where Bishnoi stops, they'll sneak in a single"
3.2,â€¢,"Siraj to Kusal Mendis, no runstraightens off a length outside off, defended as the ball skids on"
3.1,â€¢,"Siraj to Kusal Mendis, no runbeaten as he looks to smash the cover off the ball in trying to flay that through point. May have got a thin edge on it, dropped short of Pant"
2.6,1,"Axar Patel to Kusal Mendis,  1 runwhips this wide of mid-on for a single"
2.5,â€¢,"Axar Patel to Kusal Mendis, no runmix-up in the running, Kusal sent back as he pats this wide of Axar. Good call in the end to not take the run"
2.5,1w,"Axar Patel to Kusal Mendis, 1 widefired down leg, Kusal backs himself to sweep with the angle but misses. Called wide, a tad unlucky is Axar"
2.4,1,"Axar Patel to Nissanka,  1 runswept from outside off towards deep midwicket as Axar slows it down nicely"
2.3,4,"Axar Patel to Nissanka, FOUR runsswept behind square! Drifts into middle and leg, Nissanka gets inside the line and uses the pace to pick the gap."
2.2,1,"Axar Patel to Kusal Mendis,  1 runtucks it wide of midwicket"
2.1,4,"Axar Patel to Kusal Mendis, FOUR runsdrops short and this is hammered wide of mid-on! Not much turn for Axar, skid on for Kusal to slap it away. Excellent effort from Parag in running around from deep midwicket to put in the dive"
1.6,2,"Siraj to Nissanka,  2 runsmistimes the pull as he gets it high on the bat, but they'll get two as its hit into the gap at midwicket"
1.5,2,"Siraj to Nissanka,  2 runspushed to point for a single, they'll get a second off an overthrow at the striker's end"
1.4,â€¢,"Siraj to Nissanka, no runstrikes him high on the pad as Nissanka hops back to work it to the leg side. There was big inward movement, Siraj was keen to go for the review, SKY not so much"
1.3,â€¢,"Siraj to Nissanka, no runwidth, too full and he crashes this to a diving SKY at short cover"
1.2,â€¢,"Siraj to Nissanka, no runbowl full on off, but Nissanka is squared up a hint as he defends that into the off side. Hung back instead of committing himself forward"
1.1,â€¢,"Siraj to Nissanka, no runstarts with length on off, defended"
0.6,â€¢,"Arshdeep Singh to Kusal Mendis, no runbeats him with a pearl! Kusal plays a loose drive, possibly looking out for the late in-swing. This one held its line"
0.5,1,"Arshdeep Singh to Nissanka,  1 runmistimes a drive, rolls towards the man coming in from point"
0.4,4,"Arshdeep Singh to Nissanka, FOUR runslovely hands! Hops back and opens the bat face late to steer this length ball behind point. Rinku at square third can't stop it even though the effort was top class; he ran close to 40 metres and put in a dive to try and pull it back in."
0.3,4,"Arshdeep Singh to Nissanka, FOUR runsright in the slot and Nissanka blasts that through extra cover. Arshdeep went searching for swing but there wasn't much on that occasion"
0.2,â€¢,"Arshdeep Singh to Nissanka, no runslants a length ball across, cut into the ground to point"
0.1,â€¢,"Arshdeep Singh to Nissanka, no runbig inward movement off a length, Nissanka is struck high on the pad as he hops back to defend. Would've missed the stumps"
