ball,score,commentary,second_commentary,output_labels_primary,output_labels_secondary
18.5,4,"abbott to rinku singh , four runsmisfield by smith    and four more  should have ideally been a single  the ball was short and ended wide of off , as he swatted hard and far from his body  smith at mid-off failed to grab low , and the ball rolled away","abbott to rinku singh , four , a misfield and it is steve smith of all people   wonder if he  still reeling from the aftereffects of the world cup win celebration  hard length outside-off , slapped towards mid-off and smith lets it slide between his hands for a boundary","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Four', 'Outcome: Four', 'Outcome: Single', 'Length: Short', 'Shot Position: Mid-off', 'Batsman: rinku singh']","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Four', 'Field Activity: Misfield', 'Length: Length', 'Line: Outside-off', 'Field Activity: Slide', 'Shot Position: Mid-off', 'Batsman: rinku singh']"
18.4,4,"abbott to rinku singh , four runspulled between deep backward square and deep midwicket  short ball again from abbott - it pitched on middle and moved away towards off - even as there wasn't too much of room for rinku  but he rides the bounce and clubs that","abbott to rinku singh , four , banged short near the helmet , rinku very easily pulls it away to the right of deep-square into a vacant pocket of the ground for a boundary","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Four', 'Length: Short', 'Shot Position: Midwicket', 'Batsman: rinku singh']","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Four', 'Length: Short', 'Shot Position: Deep-square', 'Batsman: rinku singh']"
18.3,6,"abbott to rinku singh ,  six runslow full toss deposited over the bowler  head  excellently played  he reaches out for this low full toss , which is angling away and ending wide of off  the bat turns in his hands as he lofts away from his body , but the ball travels way beyond","abbott to rinku singh , six , low full toss , rinku just made a single movement of swinging through the line  didn't move any other muscle and didn't even bother running for that one  such was the conviction in that connection from the southpaw","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Six', 'Length: Full', 'Outcome: Out', 'Length: Full', 'Batsman: rinku singh']","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Six', 'Length: Full', 'Outcome: Single', 'Batsman: rinku singh']"
18.2,•,"abbott to rinku singh , no runshortish ball again , and just outside-off this time  rinku went to slash , but was beaten  the ball seemed to have come on very rapidly there","abbott to rinku singh , no run , pace off , back of length and angling away  rinku tried to slap it over point but the ball goes over his bat","['Bowler: abbott', 'Batsman: rinku singh', 'Line: Outside-off', 'Batsman: rinku singh']","['Bowler: abbott', 'Batsman: rinku singh', 'Speed: Pace', 'Length: Length', 'Shot Position: Point', 'Batsman: rinku singh']"
18.2,•,"abbott to rinku singh , no runshortish ball again , and just outside-off this time  rinku went to slash , but was beaten  the ball seemed to have come on very rapidly there","abbott to rinku singh , wide , cutter that goes very wide outside-off","['Bowler: abbott', 'Batsman: rinku singh', 'Line: Outside-off', 'Batsman: rinku singh']","['Bowler: abbott', 'Batsman: rinku singh', 'Line: Outside-off', 'Batsman: rinku singh']"
18.2,1w,"abbott to rinku singh , 1 widevery wide outside leg , as rinku lets this go  this was bowled fuller though","abbott to rinku singh , no run , pace off , back of length and angling away  rinku tried to slap it over point but the ball goes over his bat","['Bowler: abbott', 'Batsman: rinku singh', 'Runs: 1', 'Field Activity: Bowled', 'Batsman: rinku singh']","['Bowler: abbott', 'Batsman: rinku singh', 'Speed: Pace', 'Length: Length', 'Shot Position: Point', 'Batsman: rinku singh']"
18.2,1w,"abbott to rinku singh , 1 widevery wide outside leg , as rinku lets this go  this was bowled fuller though","abbott to rinku singh , wide , cutter that goes very wide outside-off","['Bowler: abbott', 'Batsman: rinku singh', 'Runs: 1', 'Field Activity: Bowled', 'Batsman: rinku singh']","['Bowler: abbott', 'Batsman: rinku singh', 'Line: Outside-off', 'Batsman: rinku singh']"
18.1,4,"abbott to rinku singh , four runspulled to deep midwicket  the ball is short from abbott , and angling across to end wide of off  but rinku fetches it from there , and finds the gap on the leg-side","abbott to rinku singh , four , length ball on off , pulled hard in front of square and beats the dive of deep-mid-wicket  rinku getting into his groove now","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Four', 'Length: Short', 'Shot Position: Midwicket', 'Batsman: rinku singh']","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Four', 'Length: Length', 'Field Activity: Dive', 'Shot Position: Deep-mid-wicket', 'Batsman: rinku singh']"
17.6,•,"ellis to gaikwad , no runfull length , and just outside-off , as gaikwad went to heave across the line but was beaten","nathan ellis to gaikwad , no run , full outside-off , goes under the bat as gaikwad tried a big swing across the line  first sign of that variable bounce we were promised during pitch report","['Bowler: ellis', 'Batsman: gaikwad', 'Length: Length', 'Line: Outside-off', 'Batsman: gaikwad']","['Bowler: nathan ellis', 'Batsman: gaikwad', 'Length: Full', 'Line: Outside-off', 'Batsman: gaikwad']"
17.5,1,"ellis to rinku singh ,  1 runshort of a length leg-stump , almost cramping him for room  punched to extra-cover","nathan ellis to rinku singh , 1 run , back of length and straight , rinku guides it towards covers for a single","['Bowler: ellis', 'Batsman: rinku singh', 'Runs: 1', 'Length: Length', 'Line: Leg-stump', 'Shot Position: Extra-cover', 'Batsman: rinku singh']","['Bowler: nathan ellis', 'Batsman: rinku singh', 'Runs: 1', 'Length: Length', 'Outcome: Single', 'Shot Position: Cover', 'Batsman: rinku singh']"
17.4,W,"ellis to suryakumar , outwell taken by stoinis  he moved to his left from extra-cover , all the while looking up at the ball while ending very close to the deep-point fielder  they almost had a mix-up , but stoinis did well in the end  ellis had bowled fullish and pretty wide of off , as surya reached out with a flat bat  but he ended up ballooning it up , beaten by the slower ballsuryakumar yadav c stoinis b ellis 19  10b 0x4 2x6 13m  sr: 190","nathan ellis to suryakumar yadav , out caught by stoinis   gone   end of an entertaining cameo from the indian skipper  smart from ellis to keep it well wide outside-off , beyond the hitting arc and tempting sky to chase it  he gets closer and tries to drive it but toe-ends it in the high  extra-cover runs backwards and completes a safe catch  suryakumar yadav c stoinis b nathan ellis 19 10  [6s-2]","['Bowler: ellis', 'Batsman: suryakumar', 'Field Activity: Bowled', 'Outcome: Out', 'Speed: Slower', 'Shot Position: Extra-cover', 'Batsman: suryakumar']","['Bowler: nathan ellis', 'Batsman: suryakumar yadav', 'Outcome: Out', 'Line: Outside-off', 'Shot Type: Drive', 'Field Activity: Catch', 'Shot Position: Extra-cover', 'Batsman: suryakumar yadav']"
17.3,2,"ellis to suryakumar ,  2 runslofts over mid-on , as ellis bowls another slower ball  but this is on a length around off , with surya spotting the fielder inside the circle","nathan ellis to suryakumar yadav , 2 runs , slower delivery , was pitched up  sky just about lifted it over mid-on for a couple of runs  didn't time it off the middle","['Bowler: ellis', 'Batsman: suryakumar', 'Runs: 2', 'Speed: Slower', 'Length: Length', 'Shot Position: Mid-on', 'Batsman: suryakumar']","['Bowler: nathan ellis', 'Batsman: suryakumar yadav', 'Runs: 2', 'Speed: Slower', 'Shot Position: Mid-on', 'Batsman: suryakumar yadav']"
17.3,2,"ellis to suryakumar ,  2 runslofts over mid-on , as ellis bowls another slower ball  but this is on a length around off , with surya spotting the fielder inside the circle","nathan ellis to suryakumar yadav , wide , bumper , a bit too high","['Bowler: ellis', 'Batsman: suryakumar', 'Runs: 2', 'Speed: Slower', 'Length: Length', 'Shot Position: Mid-on', 'Batsman: suryakumar']","['Bowler: nathan ellis', 'Batsman: suryakumar yadav', 'Batsman: suryakumar yadav']"
17.3,1w,"ellis to suryakumar , 1 widewide called , but i think this is good bowling  he saw surya step across , and bowled short around off stump  surya let it go , even as the height seemed to be too much","nathan ellis to suryakumar yadav , 2 runs , slower delivery , was pitched up  sky just about lifted it over mid-on for a couple of runs  didn't time it off the middle","['Bowler: ellis', 'Batsman: suryakumar', 'Runs: 1', 'Length: Good', 'Field Activity: Bowled', 'Length: Short', 'Batsman: suryakumar']","['Bowler: nathan ellis', 'Batsman: suryakumar yadav', 'Runs: 2', 'Speed: Slower', 'Shot Position: Mid-on', 'Batsman: suryakumar yadav']"
17.3,1w,"ellis to suryakumar , 1 widewide called , but i think this is good bowling  he saw surya step across , and bowled short around off stump  surya let it go , even as the height seemed to be too much","nathan ellis to suryakumar yadav , wide , bumper , a bit too high","['Bowler: ellis', 'Batsman: suryakumar', 'Runs: 1', 'Length: Good', 'Field Activity: Bowled', 'Length: Short', 'Batsman: suryakumar']","['Bowler: nathan ellis', 'Batsman: suryakumar yadav', 'Batsman: suryakumar yadav']"
17.2,1,"ellis to gaikwad ,  1 runellis turns around and runs forward , but the ball lands wide in front of him , where an imaginary mid-off fielder would have run forward  short ball from ellis to gaikwad , who looked to pull , but got that off the higher side of the bat","nathan ellis to gaikwad , 1 run , surprises the batter with a full pace bouncer  ruturaj late on the shot and top-egdes his pull but it falls safe between ellis and extra-cover","['Bowler: ellis', 'Batsman: gaikwad', 'Runs: 1', 'Length: Short', 'Shot Type: Pull', 'Shot Position: Mid-off', 'Batsman: gaikwad']","['Bowler: nathan ellis', 'Batsman: gaikwad', 'Runs: 1', 'Length: Full', 'Speed: Pace', 'Shot Type: Pull', 'Shot Position: Extra-cover', 'Batsman: gaikwad']"
17.1,2,"ellis to gaikwad ,  2 runsmisfield by short third to his right , and that allows gaikwad two  that is also his fifty  it was a slower ball on a length on sixth stump , as he slashed behind the wicket","nathan ellis to gaikwad , 2 runs , pace off , full and wide  ruturaj underedges his cut past the short third fielder who doesn't cover himself in glory with that effort  two runs taken and that  50 for gaikwad , a very controlled knock by the indian opener","['Bowler: ellis', 'Batsman: gaikwad', 'Runs: 2', 'Length: Short', 'Speed: Slower', 'Length: Length', 'Batsman: gaikwad']","['Bowler: nathan ellis', 'Batsman: gaikwad', 'Runs: 2', 'Speed: Pace', 'Length: Full', 'Shot Type: Cut', 'Length: Short', 'Shot Position: Cover', 'Batsman: gaikwad']"
16.6,•,"zampa to suryakumar , no runshort of a length just outside-off , and hacked on the bounce to point , where david goes low to his right to grab that","zampa to suryakumar yadav , no run , flat on off , cut towards point  well stopped by tim david","['Bowler: zampa', 'Batsman: suryakumar', 'Length: Length', 'Line: Outside-off', 'Shot Position: Point', 'Batsman: suryakumar']","['Bowler: zampa', 'Batsman: suryakumar yadav', 'Shot Type: Cut', 'Shot Position: Point', 'Batsman: suryakumar yadav']"
16.5,2,"zampa to suryakumar ,  2 runsshort ball on the stumps , with a hint of turn back in  punched aerially to long-off  left , as they pick two","zampa to suryakumar yadav , 2 runs , flat delivery on middle , punched down the ground and ruturaj had to duck under quickly to avoid a headshot  long-on cuts it off at the expense of a couple","['Bowler: zampa', 'Batsman: suryakumar', 'Runs: 2', 'Shot Position: Long-off', 'Batsman: suryakumar']","['Bowler: zampa', 'Batsman: suryakumar yadav', 'Runs: 2', 'Shot Position: Long-on', 'Batsman: suryakumar yadav']"
16.4,6,"zampa to suryakumar ,  six runsover the sightscreen  now uses his bottom hand to loft this length ball which is on a stump-to-stump line , only leaning into the shot to grab six more","zampa to suryakumar yadav , six , middle-stump-stump , sky holds his shape and lifts it straight as an arrow over zampa  head onto the sightscreens  six more and nobody is complaining","['Bowler: zampa', 'Batsman: suryakumar', 'Outcome: Six', 'Length: Length', 'Outcome: Six', 'Batsman: suryakumar']","['Bowler: zampa', 'Batsman: suryakumar yadav', 'Outcome: Six', 'Outcome: Six', 'Batsman: suryakumar yadav']"
16.3,•,"zampa to suryakumar , no runsurya also charges down looking to left , but gets an inside-edge on to his back pad as he went to loft at this length ball outside-off","zampa to suryakumar yadav , no run , pitched fuller and was the googly , suryakumar dances out for a big heave but edges it onto his pads","['Bowler: zampa', 'Batsman: suryakumar', 'Hit Type: Inside-edge', 'Length: Length', 'Line: Outside-off', 'Batsman: suryakumar']","['Bowler: zampa', 'Batsman: suryakumar yadav', 'Variation: Googly', 'Outcome: Out', 'Batsman: suryakumar yadav']"
16.2,1,"zampa to gaikwad ,  1 runskips down , with the ball ending up to very full for him on the stumps  flicked wide of long-on","zampa to gaikwad , 1 run , dances out and drives towards long-on for a single","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Length: Full', 'Shot Position: Long-on', 'Batsman: gaikwad']","['Bowler: zampa', 'Batsman: gaikwad', 'Runs: 1', 'Outcome: Out', 'Outcome: Single', 'Shot Position: Long-on', 'Batsman: gaikwad']"
16.1,1,"zampa to suryakumar ,  1 runshort of a length , and skids through to middle-stump  punched to extra-cover","zampa to suryakumar yadav , 1 run , darts one through on a length , punched towards mid-off","['Bowler: zampa', 'Batsman: suryakumar', 'Runs: 1', 'Length: Length', 'Line: Middle-stump', 'Shot Position: Extra-cover', 'Batsman: suryakumar']","['Bowler: zampa', 'Batsman: suryakumar yadav', 'Runs: 1', 'Length: Length', 'Shot Position: Mid-off', 'Batsman: suryakumar yadav']"
15.6,1,"stoinis to suryakumar ,  1 runmakes room , but stoinis bowls a sharp short ball which is climbing rather considerably outside-off  surya guides it behind point","stoinis to suryakumar yadav , 1 run , back of length and offering no pace again  sky shuffles away to slash but underedges it towards short third","['Bowler: stoinis', 'Batsman: suryakumar', 'Runs: 1', 'Length: Short', 'Line: Outside-off', 'Shot Position: Point', 'Batsman: suryakumar']","['Bowler: stoinis', 'Batsman: suryakumar yadav', 'Runs: 1', 'Length: Length', 'Speed: Pace', 'Length: Short', 'Batsman: suryakumar yadav']"
15.5,1,"stoinis to gaikwad ,  1 runsweeps at this slower ball , which is a dipping , low full toss on middle and off  single to deep-square-leg","stoinis to gaikwad , 1 run , another slower delivery , ends as a low full toss , swept towards deep backward-square-leg","['Bowler: stoinis', 'Batsman: gaikwad', 'Runs: 1', 'Speed: Slower', 'Length: Full', 'Outcome: Single', 'Shot Position: Deep-square-leg', 'Batsman: gaikwad']","['Bowler: stoinis', 'Batsman: gaikwad', 'Runs: 1', 'Speed: Slower', 'Length: Full', 'Shot Position: Backward-square-leg', 'Batsman: gaikwad']"
15.4,1,"stoinis to suryakumar ,  1 runthe point fielder dives to his right and gets a hand , as surya hacks at this short ball outside-off  he has to get on top of the bounce of this one","stoinis to suryakumar yadav , 1 run , slower bounce , tapped towards point for a single","['Bowler: stoinis', 'Batsman: suryakumar', 'Runs: 1', 'Length: Short', 'Line: Outside-off', 'Shot Position: Point', 'Batsman: suryakumar']","['Bowler: stoinis', 'Batsman: suryakumar yadav', 'Runs: 1', 'Speed: Slower', 'Outcome: Single', 'Shot Position: Point', 'Batsman: suryakumar yadav']"
15.3,6,"stoinis to suryakumar ,  six runssix in typical surya fashion  uses his wrists to paddle-flick a six over fine-leg , as he gets across the stumps and launches this length ball outside leg","stoinis to suryakumar yadav , six , a first ball six for suryakumar yadav and no prizes for guessing which part of the ground he  hit that towards  a wayward full delivery going down leg , sky shimmies inwards and flicks it over fine-leg like it was the easiest thing to do in the world  what a start ","['Bowler: stoinis', 'Batsman: suryakumar', 'Outcome: Six', 'Outcome: Six', 'Length: Length', 'Shot Position: Fine-leg', 'Batsman: suryakumar']","['Bowler: stoinis', 'Batsman: suryakumar yadav', 'Outcome: Six', 'Outcome: Six', 'Length: Full', 'Shot Position: Fine-leg', 'Batsman: suryakumar yadav']"
15.2,W,"stoinis to ishan , outalthough he  gone , this looked so much like rishabh pant  he is standing deep in the crease , and throws his hands at a very wide ball - perhaps more than two sets of stumps away - even as he loses his bottom hand and falls on his back  stoinis had bowled on a length , getting it to angle across and finish extremely wide  the ball ended up travelling right to where deep-point was positionedishan kishan c ellis b stoinis 52  32b 3x4 4x6 45m  sr: 162 5see all photos","stoinis to ishan kishan , out caught by nathan ellis   another wide yorker , would have been called had kishan not played at it  falls over trying to swing at it , off the toe end and flies towards sweeper cover  finally , a wicket for australia but that means sky walks out to bat  ishan kishan c nathan ellis b stoinis 52 32  [4s-3 6s-4]","['Bowler: stoinis', 'Batsman: ishan', 'Field Activity: Bowled', 'Length: Length', 'Shot Position: Deep-point', 'Batsman: ishan']","['Bowler: stoinis', 'Batsman: ishan kishan', 'Outcome: Out', 'Length: Yorker', 'Outcome: Out', 'Shot Position: Cover', 'Batsman: ishan kishan']"
15.1,•,"stoinis to ishan , no runyorker length , and angling across to end wide of off  he reaches out and falls on his back , with the ball dragged to extra-cover","stoinis to ishan kishan , no run , wide yorker , kishan really reaches out to drive at that but hits it towards extra-cover  falls over and can't take the single","['Bowler: stoinis', 'Batsman: ishan', 'Length: Length', 'Outcome: Out', 'Shot Position: Extra-cover', 'Batsman: ishan']","['Bowler: stoinis', 'Batsman: ishan kishan', 'Length: Yorker', 'Outcome: Out', 'Shot Type: Drive', 'Outcome: Single', 'Shot Position: Extra-cover', 'Batsman: ishan kishan']"
14.6,2,"t sangha to gaikwad ,  2 runsshort of a length on the stumps , and turns away a bit  pulled to deep-square-leg for two more","sangha to gaikwad , 2 runs , flat delivery on middle , pulled to the right of deep-mid-wicket for a couple of runs  another big over for india","['Bowler: t sangha', 'Batsman: gaikwad', 'Runs: 2', 'Length: Length', 'Shot Position: Deep-square-leg', 'Batsman: gaikwad']","['Bowler: sangha', 'Batsman: gaikwad', 'Runs: 2', 'Shot Position: Deep-mid-wicket', 'Batsman: gaikwad']"
14.5,1,"t sangha to ishan ,  1 runnow makes room , and gets a short ball turning away to end outside-off  swatted to long-off","sangha to ishan kishan , 1 run , googly wide outside-off , slapped out towards long-off","['Bowler: t sangha', 'Batsman: ishan', 'Runs: 1', 'Length: Short', 'Line: Outside-off', 'Shot Position: Long-off', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Runs: 1', 'Variation: Googly', 'Line: Outside-off', 'Outcome: Out', 'Shot Position: Long-off', 'Batsman: ishan kishan']"
14.4,6,"t sangha to ishan ,  six runsfifty for kishan  and another six keeps india motoring  again he stands across the stumps , gets a comfortable length ball , and hoicks it across over deep midwicketsee all photos","sangha to ishan kishan , six , googly on off , kishan picked it off the hand  shuffled in and go in line to give it a big swing across the line  power and elevation on that one , over cow-corner for six  that  50 for the southpaw","['Bowler: t sangha', 'Batsman: ishan', 'Outcome: Six', 'Outcome: Six', 'Length: Length', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Outcome: Six', 'Variation: Googly', 'Outcome: Six', 'Shot Position: Cow-corner', 'Batsman: ishan kishan']"
14.3,1,"t sangha to gaikwad ,  1 runmisfield by stoinis at extra-cover allows a single , as gaikwad gets a high full toss outside-off , which he slashes back","sangha to gaikwad , 1 run , full toss outside-off , slammed towards extra-cover who fumbles  single taken","['Bowler: t sangha', 'Batsman: gaikwad', 'Runs: 1', 'Outcome: Single', 'Length: Full', 'Line: Outside-off', 'Shot Position: Extra-cover', 'Batsman: gaikwad']","['Bowler: sangha', 'Batsman: gaikwad', 'Runs: 1', 'Length: Full', 'Line: Outside-off', 'Outcome: Single', 'Shot Position: Extra-cover', 'Batsman: gaikwad']"
14.2,1,"t sangha to ishan ,  1 runskips down , and drills this length ball to long-off  left  smith does well to rush towards it","sangha to ishan kishan , 1 run , fired full and wide , kishan dances out and drills it towards long-off","['Bowler: t sangha', 'Batsman: ishan', 'Runs: 1', 'Length: Length', 'Shot Position: Long-off', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Runs: 1', 'Length: Full', 'Outcome: Out', 'Shot Position: Long-off', 'Batsman: ishan kishan']"
14.1,6,"t sangha to ishan ,  six runssix over fine-leg  a full and free swing off a shortish ball , as kishan gets across the stumps early  the ball is on the shorter side of a length on the stumps , even as it turns in","sangha to ishan kishan , six , pitched fuller at the stumps at a gentle pace , too easy for ishan kishan who shimmies inwards and swings it through deep backward-square-leg for a maximum  he  carrying on from where he left off last game","['Bowler: t sangha', 'Batsman: ishan', 'Outcome: Six', 'Length: Full', 'Length: Length', 'Shot Position: Fine-leg', 'Batsman: ishan']","['Bowler: sangha', 'Batsman: ishan kishan', 'Outcome: Six', 'Speed: Pace', 'Shot Position: Backward-square-leg', 'Batsman: ishan kishan']"
13.6,1,"maxwell to ishan ,  1 runshort of a length , and pulled towards deep midwicket","maxwell to ishan kishan , 1 run , flat delivery on middle , pulled off the toe end tamely towards deep-mid-wicket  23 runs off the over , maxi having a day to forget","['Bowler: maxwell', 'Batsman: ishan', 'Runs: 1', 'Length: Length', 'Shot Position: Midwicket', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Runs: 1', 'Shot Position: Deep-mid-wicket', 'Batsman: ishan kishan']"
13.6,1,"maxwell to ishan ,  1 runshort of a length , and pulled towards deep midwicket","maxwell to gaikwad , no ball , 1 run , a loopy one , slips out the hand and ends above the waist outside-off  puzzled gaikwad who just pushed it beyond backward-point for a strike  kishan to face the free hit","['Bowler: maxwell', 'Batsman: ishan', 'Runs: 1', 'Length: Length', 'Shot Position: Midwicket', 'Batsman: ishan']","['Bowler: maxwell', 'Batsman: gaikwad', 'Runs: 1', 'Outcome: Out', 'Line: Outside-off', 'Shot Position: Slip', 'Batsman: gaikwad']"
13.6,2nb,"maxwell to gaikwad ,  no ball  1 runah , now a high full toss which dips around off but still ends up being called a no-ball on height  gaikwad slashed this to deep-point","maxwell to ishan kishan , 1 run , flat delivery on middle , pulled off the toe end tamely towards deep-mid-wicket  23 runs off the over , maxi having a day to forget","['Bowler: maxwell', 'Batsman: gaikwad', 'Runs: 1', 'Length: Full', 'Shot Position: Deep-point', 'Batsman: gaikwad']","['Bowler: maxwell', 'Batsman: ishan kishan', 'Runs: 1', 'Shot Position: Deep-mid-wicket', 'Batsman: ishan kishan']"
