ball,score,commentary
14.4,1,"Siraj to Dube,  1 run 1 run Another bouncer on middle. Dube controls his pull to the right of deep backward square leg for only a run this time around"
14.3,1,"Siraj to Jadeja,  1 run 1 run Banged in short just outside off, he pulls it down and in control to deep backward square leg"
14.2,2,"Siraj to Jadeja,  2 runs 2 runs Back of a length down leg, he helps it to Green at deep fine leg. A slight misfield and that is enough for Jadeja to steal a second"
14.1,2,"Siraj to Jadeja,  2 runs 2 runs On a length on the pads of Jadeja who clips it to the right of deep square leg. The fielder does well to keep them down to two. Maxwell it was, who hared across"
13.6,•,"Maxwell to Dube, no run no run Huge appeal for caught behind but think that went off the pad. Not out says the umpire. Pushed quicker down leg, he looks to work it fine, can't get a bat on it. And the ball flicks his pad through to the keeper."
13.5,•,"Maxwell to Dube, no run no run Short and wide, he rocks back and hammers the cut but straight to point"
13.4,•,"Maxwell to Dube, no run no run Flatter on leg stump, he stays back and bunts it back to Maxwell"
13.3,1,"Maxwell to Jadeja,  1 run 1 run Slower through the air on middle, he pushes to long-on"
13.2,6,"Maxwell to Jadeja,  SIX runs SIX runs PUMPED!  Tossed up just on the middle. Jadeja jumps down, reaches the pitch of the ball and tonks him over long-on"
13.1,•,"Maxwell to Jadeja, no run no run Floated on off stump, he looks to drive, gets a thick inside-edge back onto the pad"
12.6,1,"Green to Jadeja,  1 run 1 run Slower back of a length ball outside off. Was bowled at 126kph. Jadeja pulls it down and towards deep midwicket"
12.5,2,"Green to Jadeja,  2 runs 2 runs Goes fuller now well outside off, he leans into the drive to the left of deep cover. They get two."
12.5,1w,"Green to Jadeja, 1 wide 1 wide Another bouncer but this one is way too short. Rawat leaps and saves a few runs"
12.4,•,"Green to Jadeja, no run no run Length ball on off, he pushes towards point and was looking for a run. Is sent back."
12.3,W,"Green to Mitchell, OUT OUT The short ball does the trick for Green! Banged in short outside off, Mitchell was looking to go over long-on. Does not get any power on the pull and Patidar makes no mistake at long-on. See all photos"
12.2,1,"Green to Dube,  1 run 1 run Another miscue and the ball falls in no-man's land. Banged in short just above his hip. He mistimes his pull completely but the balls falls around the vacant square leg area"
12.1,•,"Green to Dube, no run no run Loud, loud appeal as Dube looks for a pull and gets beaten. But the umpire is unmoved. Faf has asked for a review. Don't think there was any bat there, though. Bouncer just outside off. He eyes the pull, is late again on it. Rawat was absolutely certain there was an edge. But replays confirm there was a gap between bat and ball."
11.6,2,"Alzarri Joseph to Mitchell,  2 runs 2 runs Slower short of a length ball on off stump. Mitchell waits for it and pulls in the gap between midwicket and long-on. They scurry back for two"
11.5,1,"Alzarri Joseph to Dube,  1 run 1 run Another short ball on off stump. Dube, once more can't get a clean connection. Shanks it to deep square leg."
11.4,1,"Alzarri Joseph to Mitchell,  1 run 1 run Joseph is rushing the batters for sure. Banged in short at 143.9kph. Mitchell is camped on the backfoot looking for the pull. But even then he can only miscue to long on"
11.3,1,"Alzarri Joseph to Dube,  1 run 1 run Banged in short around off stump, Dube is late on the pull again and miscues towards deep midwicket"
11.2,1,"Alzarri Joseph to Mitchell,  1 run 1 run Back of a length ball at 142kph on off stump. He goes on the backfoot but ends up bunting it towards long on"
11.1,1,"Alzarri Joseph to Dube,  1 run 1 run Back of a length ball outside off, he cuts it to deep point"
10.6,1,"Green to Dube,  1 run 1 run Flies away to deep third. Was a back of a length ball well outside off. He flashes at it and gets a thick outside edge down to deep third on the bounce."
10.5,•,"Green to Dube, no run no run Another short ball at pace! Banged in short at 133.6kph as Dube looks for a pull and misses. That looked quicker than 133kph to be honest"
10.4,1,"Green to Mitchell,  1 run 1 run Length on the pads of Mitchell who shuffles across and works him to deep backward square leg"
10.3,1,"Green to Dube,  1 run 1 run Back of a length ball outside off. He pulls it, not with too much control towards deep midwicket"
10.2,W,"Green to Rahane, OUT OUT Excellent catch by Maxwell at square leg and Rahane's sprightly knock ends. Back of a length ball but the line was crucial here. It was outside off, which meant Rahane had to fetch it and he could not control his pull. Maxwell is a few steps in from the boundary. But he adjusts well, and takes a reverse-cupped catch over his head See all photos"
10.1,6,"Green to Rahane,  SIX runs SIX runs Hooked for a hug six! Back of a length ball on off stump, he gets across and pulls it with disdain over backward square leg's head"
10.1,1w,"Green to Rahane, 1 wide 1 wide Wide first up. Was a length ball but sprays it down leg."
9.6,1,"Dagar to Rahane,  1 run 1 run Slightly short on middle stump, Rahane hangs back and pats it to long on for a run"
9.5,1,"Dagar to Mitchell,  1 run 1 run Full outside off, he digs it to cover for a quick run"
9.4,•,"Dagar to Mitchell, no run no run Keeps it quicker and on a length on middle. Mitchell can only mistime it back towards the bowler"
9.3,•,"Dagar to Mitchell, no run no run Flatter on middle stump, he defends"
9.2,1,"Dagar to Rahane,  1 run 1 run Shimmies down the track and outside the line of leg stump, giving himself some room. Dagar adjust his length as Rahane drives to long off"
9.1,1,"Dagar to Mitchell,  1 run 1 run On a length on middle and leg, he brings out the sweep past short fine leg"
8.6,1,"Karn to Mitchell,  1 run 1 run Very full once more on the stumps, he eases it to long on"
8.5,1,"Karn to Rahane,  1 run 1 run A touch fuller on the stump, he pushes towards long-on. Was looking for a second but the fielder is quick on the ball"
8.4,1,"Karn to Mitchell,  1 run 1 run Dragged down on middle and leg, as Mitchell hangs back and works it to the on-side"
8.3,6,"Karn to Mitchell,  SIX runs SIX runs This time over long off! Floated slower outside off, he goes over long off now. Such clean striking. Free swing of the blade from Mitchell"
8.2,6,"Karn to Mitchell,  SIX runs SIX runs Finally connect at one! Tossed up just a touch but that was right in Mitchell's arc. He extends his arm and swings it miles over long on"
8.1,•,"Karn to Mitchell, no run no run Darted quicker on off stump, he prods half-forward and pushes to cover"
7.6,•,"Dagar to Rahane, no run no run Pushes the length ball quicker on leg stump, Rahane goes back looking for a flick but misses and is rapped on the pad with the ball going down leg"
7.5,1,"Dagar to Mitchell,  1 run 1 run A touch quicker outside off, he pushes to Faf at cover who flicks in back-handed flick. But Rahane was in"
7.4,•,"Dagar to Mitchell, no run no run Ooh, some turn outside off. Mitchell is camped on the backfoot and defends towards cover"
7.3,•,"Dagar to Mitchell, no run no run Shimmies down the track but Dagar shortens the length and Mitchell has to defend"
7.2,•,"Dagar to Mitchell, no run no run A tad short just outside off, he stays back and eases to backward point"
7.1,1,"Dagar to Rahane,  1 run 1 run Length outside off, he pushes it through point for a run"
6.6,W,"Karn to Ravindra, OUT OUT He's gone now! One shot too many for Rachin. Was a length ball on middle and leg. He sweeps eyeing another six, but doesn't connect as cleanly. Deep backward square leg settles himself and takes a comfortable catch. Lovely debut for Rachin who falls for a 15-ball 37. See all photos"
6.5,6,"Karn to Ravindra,  SIX runs SIX runs Dropped short and he pumps it for six! On off stump, he rocks back and hammers him over deep midwicket fielder's head."
6.4,1,"Karn to Rahane,  1 run 1 run Shimmies down the track to the length ball on leg stump and pushes to long on"
6.3,•,"Karn to Rahane, no run no run Flatter outside off, he stays back and punches to backward point"
6.2,2,"Karn to Rahane,  2 runs 2 runs Fuller in length on off and middle, he flicks it to deep midwicket and some excellent running get them a couple of runs"
6.1,•,"Karn to Rahane, no run no run Flatter on the stumps, he goes back and pushes to the on side and Karn gets across"
5.6,3,"Yash Dayal to Rahane,  3 runs 3 runs Fuller outside off, he digs it to backward point and sets off. The fielder throws down the stumps at the non-striker end, but Rahane is in. Also gets two extra runs via the ricochet"
5.5,2,"Yash Dayal to Rahane,  2 runs 2 runs Juuuuust over Faf's head! Length ball outside off. He was looking  to go up and over mid-off, doesn't connect as well. Faf runs back, but can't get a hand on it"
5.4,2,"Yash Dayal to Rahane,  2 runs 2 runs Fuller in length well outside off. He opens his arms and drives aerially to the right of deep point"
5.3,6,"Yash Dayal to Rahane,  SIX runs SIX runs Stand and deliver! Shot of the evening so far, for me. Back of a length ball outside off. He stands still and pumps him over mid-off and eventually the ropes for a 84m six"
5.2,•,"Yash Dayal to Rahane, no run no run Very full and outside off, Rahane tries to squirt this fine. Makes no connection once more"
5.1,•,"Yash Dayal to Rahane, no run no run Lovely bowling again from Dayal. Gets this on  a length angling away from Rahane, who is on the move while looking for a drive. Gets beaten."
4.6,•,"Alzarri Joseph to Ravindra, no run no run Raps him in the midriff at pace. Back of a length again on middle. Rachin looks to hack that away, but is beaten for pace"
4.5,2,"Alzarri Joseph to Ravindra,  2 runs 2 runs Just short of Faf at mid-off. Was a back of a length ball outside off, he stands tall and slaps it hard but aerially. Faf dives forward, but the ball clearly fell short"
4.5,1w,"Alzarri Joseph to Ravindra, 1 wide 1 wide Back of a length ball down leg. He looks to help it away, can't connect but gets a wide. Rawat does well to his right"
4.4,1,"Alzarri Joseph to Rahane,  1 run 1 run Back of a length ball outside off, he pats it to deep third"
4.3,•,"Alzarri Joseph to Rahane, no run no run Big shout for lbw but the umpire stays unmoved. No review taken. Length ball at 146kph that strikes Rahane on the pad. Think he got an inside-edge back onto the pad."
4.2,1,"Alzarri Joseph to Ravindra,  1 run 1 run Length on off stump, he stays leg side of the ball and pushes to cover and sets off"
4.1,6,"Alzarri Joseph to Ravindra,  SIX runs SIX runs Hello there Mr Joseph says Rachin as he pulls him for six! Banged in short and on his hips, he helps it over fine leg with ease"
3.6,W,"Yash Dayal to Gaikwad, OUT OUT Edged and taken on the second attempt by Green at first slip. This is excellent bowling and also excellent captaincy from Faf to keep the slip in. Keeps it on a length but well outside off stump. Gaikwad gets forward reaching for the drive. He gets a thick edge and Green takes a fairly simple catch albeit on the second attempt. Important wicket for RCB See all photos"
3.5,4,"Yash Dayal to Gaikwad, FOUR runs FOUR runs Strayed on the pads and Gaikwad cashes in. Length down leg, he shuffles across and clips fine and for four. Six fours and six already in this innings"
3.4,1,"Yash Dayal to Ravindra,  1 run 1 run He's timing these really well so far. That was on a good length outside off, he stands tall and slaps it to mid-off"
3.3,•,"Yash Dayal to Ravindra, no run no run A hint of shape away from Dayal on that length ball outside off, he prods forward and punches it nicely but straight to cover point"
3.2,4,"Yash Dayal to Ravindra, FOUR runs FOUR runs SHOT! Fuller-length ball but was veering down leg. He flicks it with authority past short fine leg"
3.1,1,"Yash Dayal to Gaikwad,  1 run 1 run Length ball angling away from Gaikwad outside off. He pushes at it with an open face of the bat to deep third"
2.6,6,"Siraj to Ravindra,  SIX runs SIX runs Top edge for six! Rachin is enjoying a bit of luck on IPL debut. A well-directed short of a length ball aimed at his body. Rachin swivel-pulls gets a big top edge that goes over short fine leg and just over the ropes"
2.5,1,"Siraj to Gaikwad,  1 run 1 run back of a length ball outside off, he gets across and slaps it to deep point"
2.4,1,"Siraj to Ravindra,  1 run 1 run Fuller in length on middle and leg, he punches it neatly but straight to mid-on"
2.3,1,"Siraj to Gaikwad,  1 run 1 run Another excellent stop from Dagar. This time at cover. Was fuller in length outside off, he leans into the cover drive but Dagar dives full-length to his right to save three"
2.2,1,"Siraj to Ravindra,  1 run 1 run Chipped just over the bowler's head. Was a length ball on middle, he was looking to clip it but closed the face of the bat early. The leading edge just evades the bowler"
2.1,4,"Siraj to Ravindra, FOUR runs FOUR runs Flicked for four! That's a lovely wristy flick from Rachin. Was a length ball on his pads, he sends it all across the carpet and deep backward square leg can't do much"
2.1,1w,"Siraj to Ravindra, 1 wide 1 wide Full but sprays it down leg. Rawat does well to his right. Called a wide"
1.6,•,"Yash Dayal to Gaikwad, no run no run Goes past the outside edge for a third straight time. Changes the length again. Was back of a length outside off. Gaikwad throws his hands at it looking for a swish, gets beaten"
1.5,•,"Yash Dayal to Gaikwad, no run no run And again! Pushes the fuller and angling away from Gaikwad inviting him for a drive. He takes the bait but only connects at thin air"
1.4,•,"Yash Dayal to Gaikwad, no run no run Ooh, close. Good length ball outside off with a hint of away shape. Gaikwad nibbles at it and gets beaten"
1.3,•,"Yash Dayal to Gaikwad, no run no run Fails to get a decent connection on that. Length ball on Gaikwad's pads, he gets across and clip but can't beat fine leg"
1.2,1,"Yash Dayal to Ravindra,  1 run 1 run Fuller in length on middle and leg, he clips past mid-on for a run"
1.1,4,"Yash Dayal to Ravindra, FOUR runs FOUR runs Gets an inside-edge for four! Beginners luck for Rachin. Was a length ball outside off, he looks to flay it away through the off side, gets a thick inside edge just past off stump and past the keeper's right"
0.6,•,"Siraj to Gaikwad, no run no run Back of a length ball outside off. He plays inside the line of the ball and is beaten. Rawat is hit on the knee with the ball going to him on the half-volley"
0.5,4,"Siraj to Gaikwad, FOUR runs FOUR runs In the air but in the gap. That was close. Was a length ball floated well outside off. He opens the face of the blade and drives aerially between backward point and point. Picked the gap to perfection"
0.4,•,"Siraj to Gaikwad, no run no run Length ball tailing away from Gaikwad well outside off. He leaves it alone"
0.3,•,"Siraj to Gaikwad, no run no run Lovely timing and even better fielding at backward point. Back of a length ball outside off. The width was the key. He cuts it hard but Dagar flings to his right and saves a certain four"
0.2,•,"Siraj to Gaikwad, no run no run Play and a miss now. Back of a length ball shaping away from Gaikwad, who has a swish at it but doesn't connect. Rawat collects on the bounce"
0.1,4,"Siraj to Gaikwad, FOUR runs FOUR runs BANG! Short ball outside off, he swivels and pull over square leg with minimum of fuss. That's some way to start your IPL."
