ball,commentary
13.2,"Maxwell to Jadeja, SIX, in the slot and it goes the distance! Tossed up a little too full on off-stump, a real freebie and Jadeja smoked it over long-on with a clean swing of the blade"
13.1,"Maxwell to Jadeja, no run, tossed up full on off-stump, slides on with the arm and catches a thick inside edge onto the pads as Jadeja looks to drive it into the off-side"
12.6,"Green to Jadeja, 1 run, back of a length on off-stump, pulled away towards deep mid-wicket"
12.5,"Green to Jadeja, 2 runs, full outside off, driven out through to deep extra cover, decently timed but not enough to beat the sweeper running to his left"
12.5,"Green to Jadeja, wide, excellent take from Anuj Rawat, very short on middle, sailed over Jadeja's head, Rawat timed his jump to perfection behind the stumps and kept it in"
12.4,"Green to Jadeja, no run, good length delivery angling into the batter on off-stump, Jadeja has to get on his toes as he drops it into the off-side"
12.3,"Green to Mitchell, out Caught by Rajat Patidar!! The short-ball tactic finally pays off for RCB! Looks like RCB had a plan and they stuck with it. Banged into the deck on off-stump, Mitchell made a bit of room by backing away and looked to flat-bat this over long-on, didn't get nearly enough and it came off the top half. Went straight down Patidar's throat at long-on and another timely wicket for RCB. Mitchell c Rajat Patidar b Green 22(18) [6s-2]"
12.2,"Green to Shivam Dube, 1 run, in the air but safe! Again Green goes back of a length and into the body, cramps him for room as he looks to pull and lobs up, lands safely in the square leg region"
12.1,"Green to Shivam Dube, no run, nothing on UltraEdge, review lost! Banged into the deck and going across the batter again, was just outside off, rushed him with the pace and cramped him for room as he looked to pull, just about went over the top-edge, was extremely close but nothing on UltraEdge to RCB's plight"
11.6,"Alzarri Joseph to Mitchell, 2 runs, pace off this time, back of a length and just outside off, Mitchell sat deep in his crease and waited for it before pulling it away towards deep mid-wicket, no timing again but it was in the gap, they shuffle back for two"
11.5,"Alzarri Joseph to Shivam Dube, 1 run, back of a length on middle, mistimed pull goes towards square leg this time"
11.4,"Alzarri Joseph to Mitchell, 1 run, and again, the zippy pace of Alzarri Joseph rushes the batter, good length just outside off, Mitchell was waiting on the backfoot looking to heave it away again and mistimed it down to long-on"
11.3,"Alzarri Joseph to Shivam Dube, 1 run, back of a length on middle, takes it on with a pull but is clearly rushed again, mistimes it and it goes towards deep mid-wicket"
11.2,"Alzarri Joseph to Mitchell, 1 run, good length delivery just outside off, Mitchell was hanging back looking to heave it away, rushed him and went towards mid-on off the splice"
11.1,"Alzarri Joseph to Shivam Dube, 1 run, length delivery outside off, cut away towards deep backward point"
10.6,"Green to Shivam Dube, 1 run, good length delivery slanting across outside off, Shivam Dube flashed at it and got a thick outside edge, went down to third man who was placed quite fine"
10.5,"Green to Shivam Dube, no run, banged in short and at good pace, rushes Shivam Dube as he looks to take it on and beats him, Anuj Rawat fumbles behind the stumps"
10.4,"Green to Mitchell, 1 run, good length delivery on middle, Mitchell shuffles across and tucks it away towards deep square leg"
10.3,"Green to Shivam Dube, 1 run, back of a length and slanting across just outside off, Shivam Dube shafts the pull towards mid-wicket off the toe end"
10.2,"Green to Rahane, out Caught by Maxwell!! Superb catch from Maxwell in the deep! Rahane perishes but he's done his job. Back of a length on middle-leg again, didn't rise as much though and Rahane was hanging back again, he just checked his pull this time and it went off the top half, was still traveling but Maxwell intercepted it on the deep backward square leg ropes. He was a few yards in but did brilliantly to run to his left and jump at the right second to reel it in. Much needed for RCB, just keeps the morale up. Rahane c Maxwell b Green 27(19) [6s-2]"
10.1,"Green to Rahane, SIX, into the stands! Just back of a length on middle-leg, poor line again and Rahane seemingly was waiting for the short one, he was sitting back and pulled this away to the deep backward square leg with ease"
10.1,"Green to Rahane, wide, good length delivery that just angles down leg, Rahane looked to glance it fine and missed, called a wide"
9.6,"Mayank Dagar to Rahane, 1 run, flatter delivery on middle, worked away to wide long-on"
9.5,"Mayank Dagar to Mitchell, 1 run, fired in full outside off, Mitchell was looking for a big one and could only jam it out towards cover"
9.4,"Mayank Dagar to Mitchell, no run, flatter delivery on middle, knocked back towards the bowler who hops to his right to stop it"
9.3,"Mayank Dagar to Mitchell, no run, full on off-stump, driven straight back to the bowler"
9.2,"Mayank Dagar to Rahane, 1 run, full and just outside off, Rahane makes room and skips down the track before slapping it down to long-off"
9.1,"Mayank Dagar to Mitchell, 1 run, full on off-stump, Mitchell leans right across his stumps and fetches it with a sweep, gets it to the left of short fine-leg but there's protection in the deep"
8.6,"Karn Sharma to Mitchell, 1 run, full on middle, pushed down the ground to long on, good over for CSK, 15 off it"
8.5,"Karn Sharma to Rahane, 1 run, tossed up full on middle, gently worked away towards wide mid-on, only went to the edge of the ring and Rahane was looking for two but the man running in from long-on was quick"
8.4,"Karn Sharma to Mitchell, 1 run, length delivery on middle, Mitchell covers his stumps and works it away towards mid-wicket for one, good cricket"
8.3,"Karn Sharma to Mitchell, SIX, two in a row! Tossed up full outside off, more than enough room for Mitchell to free his arms this time and he launches it over long-off, Karn Sharma under pressure"
8.2,"Karn Sharma to Mitchell, SIX, Mitchell goes big! Floated up full on off-stump, this was in his zone and he cleared his front-leg and mowed it straight down the ground, cleared the ropes so easily"
8.1,"Karn Sharma to Mitchell, no run, tossed up full on off-stump, Mitchell prods forward and knocks it towards cover"
7.6,"Mayank Dagar to Rahane, no run, fired in quicker on a length, angles into the pads and skids through this time, beats Rahane who was looking to turn it into the leg-side and hits his pad, would've gone down leg"
7.5,"Mayank Dagar to Mitchell, 1 run, flatter delivery outside off, Mitchell shuffles across his stumps early and knocks it towards cover for a quick single, even a quick pick-up and throw from Faf can't find Rahane short"
7.4,"Mayank Dagar to Mitchell, no run, shade fuller and just outside off, Mitchell plays back again as he knocks it towards cover, bit of bite and turn again"
7.3,"Mayank Dagar to Mitchell, no run, length delivery on off-stump, saw the batter running down the track and dropped it just a touch shorter, just holds in the surface a touch too"
7.2,"Mayank Dagar to Mitchell, no run, length delivery outside off, punched straight to point"
7.1,"Mayank Dagar to Rahane, 1 run, full outside off, just a touch early through his drive but it goes into the gap and through to sweeper cover"
6.6,"Karn Sharma to Ravindra, out Caught by Rajat Patidar!! Karn has his man now - was pushed through quicker and at the stumps, Ravindra went down on his knee as he looked to play the slog-sweep - hit it hard and hit it flat, straight down Patidar's throat at deep backward square leg. The dangerous Ravindra departs and RCB can heave a sigh of relief. Ravindra c Rajat Patidar b Karn Sharma 37(15) [4s-3 6s-3]"
6.5,"Karn Sharma to Ravindra, SIX, a long hop and it's been hammered - dragged half-way by Karn, Ravindra rocks back and then thumps it powerfully over wide mid-wicket, there's a fielder in the deep, but he's well away from the ball"
6.4,"Karn Sharma to Rahane, 1 run, Karn dragged the length back as Rahane came down the pitch, worked down to long-on for a single"
6.3,"Karn Sharma to Rahane, no run, pushed through by Karn - Rahane backs away and finds backward point with the cut"
6.2,"Karn Sharma to Rahane, 2 runs, loopy delivery on middle and leg, clipped in front of square on the on-side and they race back for the second"
6.1,"Karn Sharma to Rahane, no run, flighted delivery on middle and leg, worked off the back-foot to the bowler"
5.6,"Yash Dayal to Rahane, 3 runs, more runs, this is so frustrating for RCB - yorker length delivery and it was jammed in front of cover-point, the run was always there, but the fielder has a shy at the bowler's end, no one's backing him up and Rahane gets a couple of more runs in the bargain"
5.5,"Yash Dayal to Rahane, 2 runs, a mistimed drive, but the ball drops over Faf's right shoulder - fuller length delivery and just outside off, Rahane went hard on the drive, came off the thick edge and he's lucky to have cleared the infield"
5.4,"Yash Dayal to Rahane, 2 runs, fuller length delivery and well wide of off - Rahane plays with a bent knee as he slices the drive over backward point, comes back for the second"
5.3,"Yash Dayal to Rahane, SIX, Rahane throws his hands on a length ball and sends it carving over mid-off for a maximum - back of a length and angling across the right-hander, he's smote it on the rise and the timing is sublime, into the stands at long-off"
5.2,"Yash Dayal to Rahane, no run, fuller length delivery and shaping across the right-hander - Rahane was looking to jam it out and missed"
5.1,"Yash Dayal to Rahane, no run, Dayal is bowling beautifrully to the right-handers, pitched up and the angle takes the ball away from Rahane's rteach, past the waft and into the gloves of the keeper"
4.6,"Alzarri Joseph to Ravindra, no run, short of a good length and around the off-stump channel, Ravindra swings and is struck high on the body"
4.5,"Alzarri Joseph to Ravindra, 2 runs, just short of Faf at mid-off, and he then has to chase, does well to keep them down to a couple - back of a length and well wide of off, flat-batted uppishly towards mid-off and had faf diving forward on the catch"
4.5,"Alzarri Joseph to Ravindra, wide, short and down leg, Ravindra was looking to help it on its way with the pull and missed, called as a wide"
4.4,"Alzarri Joseph to Rahane, 1 run, back of a length and just outside off, Rahane runs it down towards third man for a single"
4.3,"Alzarri Joseph to Rahane, no run, a long LBW appeal, but they ain't reviewing it, must've been an inside edge, too close to dab and Rahane squeezed an under-edge onto his front-pad"
4.2,"Alzarri Joseph to Ravindra, 1 run, Alzarri shortens the length around off, punched to the left of cover-point for a single"
4.1,"Alzarri Joseph to Ravindra, SIX, cracking shot, pacy short ball from Alzarri - but this is at the hips of Ravindra, he swivels across anmd then hammers the pull over long leg for a maximum"
3.6,"Yash Dayal to Gaikwad, out Caught by Green!! Edged and caught! Green on the second attempt and he has big hands, this is some reward for Dayal - troubled Gaikwad with the angle and has finally nailed him - pitched up and pushed across with the angle, Gaikwad had to reach out on the drive, there's no control over the shot and gets a thick edge to slip's right. Green was quick to react, but the ball popped out, fortunately for RCB - he's alert enough to grab the rebound off the knee. Gaikwad c Green b Yash Dayal 15(15) [4s-3]"
3.5,"Yash Dayal to Gaikwad, FOUR, wrong line from Dayal, short and at the pads - Gaikwad gets inside the line and nudged it very fine, beats the man in the ring and runs away"
3.4,"Yash Dayal to Ravindra, 1 run, on a good length and just outside off, driven to the right of mid-off for a single"
3.3,"Yash Dayal to Ravindra, no run, fuller length delivery outside off, Ravindra leans across and defends it with an open face to cover-point"
3.2,"Yash Dayal to Ravindra, FOUR, more runs, too full and too straight from Dayal - on the pads and it's whipped away backward of square on the on-side, beats the man in the ring and races away"
3.1,"Yash Dayal to Gaikwad, 1 run, fuller length delivery outside off, Gaikwad plays with an angled bat and runs it backward of square on the off-side for a single"
2.6,"Siraj to Ravindra, SIX, top-edge and six, luck running Ravindra's way at the moment - banged in short and he's late on the pull, gets a massive top-edge, was always a safe shot with fine leg inside the ring, this one has enough power to sail over the ropes"
2.5,"Siraj to Gaikwad, 1 run, short of a good length and well wide of off, chopped to the left of cover-point for a single"
2.4,"Siraj to Ravindra, 1 run, fuller length delivery on the stumps, driven to the left of mid-on and they're off for a quick single"
2.3,"Siraj to Gaikwad, 1 run, Mayank has saved a few more runs here - fuller length delivery and well wide of off, driven to the right of cover where he threw himself and made a one-handed save"
2.2,"Siraj to Ravindra, 1 run, Ravindra gets lucky now - on a good length and angling back into the left-hander, Ravindra was early into the tuck, closed the bat-face and the leading edghe popped over Siraj's outstretched right-hand"
2.1,"Siraj to Ravindra, FOUR, beautifully played, fuller length delivery and angling into the pads, Ravindra lets the ball come, brings his wrists into play and then flicks it backward of square on the on-side, beat the despairing dive from the fielder in the deep"
2.1,"Siraj to Ravindra, wide, Siraj loses his line and spills one well down the leg-side, called as a wide"
1.6,"Yash Dayal to Gaikwad, no run, beaten, short of a good length and angling across the right-hander, brings out a loose waft and Gaikwad's beaten on the outside edge"
1.5,"Yash Dayal to Gaikwad, no run, much better from Yash - pitched up and pushed across with the natural angle, dragged Gaikwad into the drive and beats him on the outside edge"
1.4,"Yash Dayal to Gaikwad, no run, lovely delivery, short of a good length and a hint of shape away from off, Gaikwad has a poke at that and nearly edges it through to the keeper"
1.3,"Yash Dayal to Gaikwad, no run, back of a length and at the hips, tucked straight to the fielder at short fine"
1.2,"Yash Dayal to Ravindra, 1 run, on a good length and angling into the left-hander, worked in front of square on the on-side, to the left of mid-on for a single"
1.1,"Yash Dayal to Ravindra, FOUR, streaky and four, fuller length delivery and holding its line outside off - Ravindra goes hard on the drive, gets a big inside edge that runs away past the stumps and away from Rawat's reach"
0.6,"Siraj to Gaikwad, no run, on a good length and holding its line outside off - stayed very low and burst under Gaikwad's bat, bouncing through to the keepert"
0.5,"Siraj to Gaikwad, FOUR, uppish and four, fuller length delivery and shaping away from wide of off, Gaikwad is lured into the drive, he doesn't get on top of the bounce, but does manage to find the gap square past cover-point"
0.4,"Siraj to Gaikwad, no run, on a good length and shaping away from outside off - Gaikwad covers the line, lifts his bat and lets it go"
0.3,"Siraj to Gaikwad, no run, back of a length and well wide of off, punched to the right of backward point where Mayank Dagar makes an acrobatic stop, saved a certain boundary"
0.2,"Siraj to Gaikwad, no run, short of a good length and angling adcross the right-hander, stays a fraction low and goes under Gaikwad's poke, bounced through to the keeper"
0.1,"Siraj to Gaikwad, FOUR, cracking shot, Ruturaj is off and running - friendly short ball from Siraj, shoulders arms up to the right-hander, Gaikwad swivels across and then hammers the pull over square leg for a boundary"
